
State Machine - |lab3|state
Name state.DRAW_PUCK2 state.DRAW_PUCK1 state.ERASE_PUCK2 state.ERASE_PUCK1 state.INIT state.DRAW_PADDLE_LOOP state.DRAW_PADDLE_ENTER state.ERASE_PADDLE_LOOP state.ERASE_PADDLE_ENTER state.IDLE state.DRAW_LEFT_LOOP state.DRAW_LEFT_ENTER state.DRAW_RIGHT_LOOP state.DRAW_RIGHT_ENTER state.DRAW_TOP_LOOP state.DRAW_TOP_ENTER state.START 
state.INIT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
state.START 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 
state.DRAW_TOP_ENTER 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 
state.DRAW_TOP_LOOP 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 
state.DRAW_RIGHT_ENTER 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 
state.DRAW_RIGHT_LOOP 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 
state.DRAW_LEFT_ENTER 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 
state.DRAW_LEFT_LOOP 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 
state.IDLE 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 
state.ERASE_PADDLE_ENTER 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 
state.ERASE_PADDLE_LOOP 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
state.DRAW_PADDLE_ENTER 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 
state.DRAW_PADDLE_LOOP 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
state.ERASE_PUCK1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
state.ERASE_PUCK2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
state.DRAW_PUCK1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
state.DRAW_PUCK2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
